width,seed,phase,input_dim,output_dim,hidden_depth,activation_name,train_steps,initial_train_loss,final_train_loss,mc_samples,cp_mean,mc_mean,mean_error,mean_abs_error,mean_squared_error,mean_l2_error,nmse_mean,variance_normalized_mean_error,empirical_output_rms,empirical_output_std,empirical_output_second_moment,cumulant_config_summary,runtime_seconds,status,error_message,weight_norm_layer_0,bias_norm_layer_0,weight_norm_layer_1,bias_norm_layer_1,weight_norm_layer_2,bias_norm_layer_2,weight_norm_layer_3,bias_norm_layer_3,relative_error_mean,mc_mean_se,mc_noise_z
256,0,initial,64,1,3,relu,0,,,64000,0.7096913305773725,0.7112113524723179,-0.0015200218949453,0.0015200218949453,2.310466561113338e-06,0.001520021894945378,4.567750006019437e-06,2.457667412020807e-06,0.9695903585220712,0.659002181675793,0.9401054633389586,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",0.1821210384368896,ok,,15.958496108640562,15.872825449086966,22.555239079873427,17.463211030797247,22.548810143529774,15.530483387311316,1.3866576492683598,0.9015071049231002,0.0021372295164571405,0.0026049348463944803,0.5835162812097743
256,0,trained_to_zero,64,1,3,relu,5000,0.9292767882759893,2.459497037147051e-05,64000,-0.0013353770091628,-0.0013131446634013,-2.2232345761529935e-05,2.2232345761529935e-05,4.94277198060218e-10,2.223234576150001e-05,0.0002866455329328,2.191648541726313e-05,0.0047489743402602,0.0045638151120998,2.2552757284450433e-05,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",18.319134950637817,ok,,14.72698781893279,15.87274725780053,22.51710827822915,17.45064258718297,22.781431412328043,15.533505189248729,1.3042322553451955,0.9036669555358606,0.01693061424548861,1.8040063217665057e-05,1.2323872849482331
256,1,initial,64,1,3,relu,0,,,64000,-1.9513433547646264,-1.951321498633432,-2.1856131194208928e-05,2.1856131194208928e-05,4.776904707784726e-10,2.1856131194430972e-05,1.254552727677901e-10,1.0951395066063706e-10,2.088519650498605,0.7444855535803159,4.361914330518813,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",0.1873450279235839,ok,,16.00210147990767,14.56669005208952,22.673499904869622,15.824717672398666,22.59040010046933,16.4972493632051,1.3846444497231851,1.540274247822879,1.120068179934791e-05,0.0029428375430064022,0.0074268901587669234
256,1,trained_to_zero,64,1,3,relu,5000,4.447004116507372,2.2919448373627508e-05,64000,-0.0007724485805997,-0.0007922163600953,1.9767779495536548e-05,1.9767779495536548e-05,3.9076510618415516e-10,1.9767779495600082e-05,0.0006226263127073,1.9627148783824928e-05,0.0044619969567441,0.0043911057924845,1.9909416841994016e-05,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",18.40831685066223,ok,,14.702842104552191,14.598518485545602,22.569663480083182,15.80608752497242,22.72364783914513,16.49650847325251,1.3006727224714938,1.533916422247059,0.024952500940866214,1.7357369688762127e-05,1.13886946646813
256,2,initial,64,1,3,relu,0,,,64000,0.44659969174293,0.4501570912681592,-0.0035573995252292,0.0035573995252292,1.265509138210101e-05,0.00355739952522921,6.245066879811743e-05,2.1641725686947147e-05,0.7646922677077154,0.6181527784237149,0.5847542642919682,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",0.1875500679016113,ok,,16.25174794174132,15.589519736944403,22.621906505037195,16.461496646481184,22.74715807482652,16.344413150486833,1.3524164147553357,0.2492052615491971,0.007902573555377271,0.0024434634022254095,1.4558841030863763
256,2,trained_to_zero,64,1,3,relu,5000,0.5584261431011606,3.352654251661367e-05,64000,-0.0047978625060696,-0.0047984723786068,6.098725372060548e-07,6.098725372060548e-07,3.719445116381507e-13,6.098725371999833e-07,1.6153704624020864e-08,1.20303629206539e-08,0.0055603189711018,0.0028092365318966,3.091714706039567e-05,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",18.387659072875977,ok,,15.250923160996226,15.630171892918389,22.58186834384627,16.452039924239838,22.9145425414896,16.355853791448006,1.2786486865540423,0.2471455430564734,0.00012709722781606547,1.110448240868189e-05,0.05492128852416158
256,3,initial,64,1,3,relu,0,,,64000,3.6414385527339848,3.637652339015734,0.0037862137182509,0.0037862137182509,1.433541432027162e-05,0.0037862137182509414,1.0833477097212155e-06,1.0404124938666243e-06,3.7119519457604495,0.7389673254536689,13.778587247634787,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",0.1872720718383789,ok,,16.04877983202966,15.896379275076722,22.48928059020403,15.397552651036124,22.657632307732968,16.594880201591092,1.4432255271322394,0.077912184972796,0.0010408399059032574,0.002921024831095642,1.2961936087118382
256,3,trained_to_zero,64,1,3,relu,5000,13.590576149594613,2.0144138119005605e-05,64000,-0.002736044175239,-0.0027521295794003,1.6085404161334492e-05,1.6085404161334492e-05,2.5874022703347697e-10,1.608540416130023e-05,3.4160651232415906e-05,1.5780851276967007e-05,0.0040491769012684,0.0029701205961973,1.639583357776591e-05,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",18.467537879943848,ok,,15.221178980759005,15.896810495909392,22.485901890788156,15.409098953831968,22.728447431166572,16.596415390271787,1.389417523264538,0.0813683077515867,0.005844711773695115,1.1740432511700887e-05,1.3700860488046724
256,4,initial,64,1,3,relu,0,,,64000,-1.2614467845536033,-1.2603058719304172,-0.001140912623186,0.001140912623186,1.3016816137452787e-06,0.0011409126231860522,8.195073463418781e-07,5.519198091517144e-07,1.5357283245762632,0.8775480591303972,2.3584614869058163,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",0.1880838871002197,ok,,16.316186770454514,16.490043909250765,22.74090087493433,16.293306058423912,22.76249972018389,15.30676847139158,1.5152589838337458,1.1174255307953245,0.0009052664504669846,0.003468813278890219,0.3289057470461944
256,4,trained_to_zero,64,1,3,relu,5000,2.3499970345369814,0.0003101713013024,64000,-0.0170777760299425,-0.0170600423183311,-1.7733711611431918e-05,1.7733711611431918e-05,3.1448452751743525e-10,1.7733711611400693e-05,1.080535583837131e-06,9.897487625982057e-07,0.0178253127005919,0.0051668877451165,0.0003177417728738,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",18.818395853042603,ok,,14.842438563157378,16.49605483305458,22.650556157078366,16.29364528171823,23.01166140097879,15.314141210156812,1.4238683797186826,1.1117447723079397,0.0010394881372191116,2.04239171112246e-05,0.8682815664862356
512,0,initial,64,1,3,relu,0,,,64000,-2.1466633130804653,-2.1500626013974533,0.0033992883169879,0.0033992883169879,1.1555161062011054e-05,0.0033992883169879917,2.499618862041556e-06,2.252597359788848e-06,2.264885316813962,0.7119945985690466,5.129705498319482,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",0.5385348796844482,ok,,22.571628579878215,22.770858709682702,31.93762381210427,21.376841651367968,31.971720481896828,22.113284121248743,1.398786313342995,0.1398676169117664,0.0015810182990844133,0.0028144057665193114,1.207817421431811
512,0,trained_to_zero,64,1,3,relu,5000,5.172577305766309,5.564510729874424e-05,64000,-0.0082581318726734,-0.0082499291700892,-8.202702584237873e-06,8.202702584237873e-06,6.728432968546268e-11,8.202702584201443e-06,9.885837875980685e-07,8.526968210986443e-07,0.0088829995552333,0.0032933796906502,7.890768109827639e-05,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",62.48498797416687,ok,,21.8844392122206,22.74989883358543,32.03436138535208,21.378223671899356,32.194723082454615,22.132466884772228,1.326103985065362,0.1374136956464627,0.0009942755160791859,1.301822627774422e-05,0.6300936686076045
512,1,initial,64,1,3,relu,0,,,64000,-2.719904490750247,-2.717691069493506,-0.0022134212567412,0.0022134212567412,4.899233659794183e-06,0.002213421256741288,6.633274630259493e-07,6.115019450333054e-07,2.8305130076465894,0.791175794151835,8.011803886456542,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",0.4976446628570556,ok,,22.658777547294775,21.17856068662353,31.988535194381992,22.63310633724807,32.03705940872562,22.20638516030871,1.4225146566379647,0.0531835362195991,0.0008144491776811804,0.0031273969238904053,0.7077519451160981
512,1,trained_to_zero,64,1,3,relu,5000,8.060037586931866,0.000112570266347,64000,-0.0004104419373679,-0.0004177416404358,7.299703067917848e-06,7.299703067917848e-06,5.328566487976925e-11,7.299703067900013e-06,0.0003053460911226,1.226544063084681e-06,0.0065911866805057,0.0065779353735896,4.344374185727589e-05,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",61.7507221698761,ok,,21.832610028621275,21.175402270086195,32.07657702492317,22.61912732482282,32.21172360187812,22.2164640599594,1.3490723140804144,0.0544652164772291,0.01747420497226599,2.600157260241717e-05,0.2807408189795642
512,2,initial,64,1,3,relu,0,,,64000,1.176970649745554,1.1732611833977125,0.0037094663478416,0.0037094663478416,1.3760140585769589e-05,0.003709466347841639,9.996166147006008e-06,6.191640907542368e-06,1.4907628277812894,0.9196912548386365,2.222373808694466,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",0.5118637084960938,ok,,22.60610089372799,23.531791859649868,32.004321131086044,22.799383709707456,32.0185006060983,23.958933643765427,1.4206197144486723,0.1900525444950466,0.0031616714166712878,0.003635398886785555,1.0203739568455448
512,2,trained_to_zero,64,1,3,relu,5000,2.1108261481459767,9.591618755481216e-05,64000,-0.0089573595117728,-0.0089371871643883,-2.017234738450023e-05,2.017234738450023e-05,4.0692359900095327e-10,2.0172347384498496e-05,5.0946125987822346e-06,3.7932589739543888e-06,0.0103573866581286,0.0052347057199687,0.0001072754583859,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",71.98577880859375,ok,,21.89872728679267,23.52877718141944,32.14207912513942,22.794513622792405,32.28109522244034,23.974487587892742,1.3432060072085827,0.1928710898455811,0.002257124866157153,2.0691991194765817e-05,0.9748866708736355
512,3,initial,64,1,3,relu,0,,,64000,-0.5777730007932325,-0.5795424782875221,0.0017694774942896,0.0017694774942896,3.131050602797699e-06,0.001769477494289684,9.32222410978722e-06,3.0326050264264034e-06,1.0161015598214391,0.834621408623047,1.0324623798715622,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",0.5078709125518799,ok,,22.773385854982077,22.798210445297663,31.973107853872794,22.316898634875816,32.032659524524725,23.861827629661324,1.401593251989779,1.1287478443115295,0.003053231748456511,0.0032991307939836574,0.5363465725518316
512,3,trained_to_zero,64,1,3,relu,5000,0.9646472278201228,0.0001417509745304,64000,0.0125646212412158,0.0125506594294573,1.3961811758519613e-05,1.3961811758519613e-05,1.9493218758033652e-10,1.396181175850053e-05,1.2375149781974674e-06,1.12657147492536e-06,0.0131541382426931,0.0039385658295448,0.0001730313529078,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",73.41976594924927,ok,,21.95046682006342,22.799142244880738,32.08089670628896,22.310872103881223,32.162736908134214,23.88041299749959,1.3249995832534516,1.1279620749719916,0.001112436508684055,1.5568548419840076e-05,0.8967959301788279
